Generation,Alpha1,Tau1,Alpha2,Tau2,P1Low,P1Med,P1High,P2Low,P2Med,P2High,PredLow,PredMed,PredHigh
0,0.5,1,0.5,0,5,4,11,5,6,13,9,5,11
1,0.500491,1,0.5,0,2,5,23,7,5,23,14,2,14
2,0.500301,1,0.500575,0,2,9,38,9,7,38,13,3,21
3,0.499867,1,0.500465,0,2,16,65,12,10,54,10,9,22
4,0.499516,1,0.501403,0.00016516,4,11,121,16,14,83,7,5,27
5,0.499587,1,0.501173,0.000199639,6,21,198,22,15,133,6,9,32
6,0.499615,0.999719,0.501097,0.000254222,5,35,316,36,23,208,5,11,41
7,0.499485,0.99928,0.501153,0.000473899,7,48,532,49,38,329,12,12,37
8,0.499391,0.999236,0.501386,0.000749405,15,84,890,62,80,513,18,12,46
9,0.499257,0.999016,0.501482,0.000973622,19,113,1509,108,115,779,17,12,57
10,0.499278,0.998837,0.501586,0.00143859,40,218,2428,172,183,1193,26,14,49
11,0.499347,0.998766,0.501573,0.00164808,68,341,3999,265,264,1848,27,18,55
12,0.499475,0.998548,0.501616,0.00182564,119,543,6628,416,409,2774,34,16,58
13,0.499423,0.998359,0.501535,0.00193708,187,865,11074,596,656,4316,32,32,71
14,0.499394,0.998134,0.50154,0.00213532,306,1397,18305,973,1013,6519,31,29,100
